ID;HOME UNIVERSITY;COUNTRY;UNIVERSITY OF OUTGOING MOBILITY;ERASMUS ID CODE;CONTACT;FIELD OF STUDY;BACHELOR PROGRAM;MASTER PROGRAM;PhD;NUMBER OF STUDENTS;MOBILITY DURATION;WINTER DEADLINE;SUMMER DEADLINE
58;FESB;PORTUGAL;Instituto Politecnico de Coimbra;P COIMBRA02;dga.sri@ipc.pt;071 Engineering and engineering trades;yes;no;no;2;10 (2x5);31 May;30 November
59;FESB;PORTUGAL;University of Porto, Faculty of Engineering_FEUP;P PORTO02;international@fe.up.pt;0715 Mechanics and Metal trades;no;yes;no;2;10 (2x5);check on the homepage;check on the homepage
60;FESB;ROMANIA;Technical University of Cluj Napoca;RO CLUJNAP05;"Int.Rel.Office@staff.utcluj.ro; erasmus@staff.utcluj.ro";"520 Electrical Engineering; 482 Informatics Computer Science";yes;yes;yes;1;10;15 July;15 November
61;FESB;SLOVAKIA;Technical University of Kosice;SK KOSICE03; natalia.vaskova@tuke.sk;"0788 Engineering, Manufacturing and Construction; 0712 Environmental protection technology";yes;yes;yes;1;5;30 June;30 November
62;FESB;SLOVAKIA;University of Zilina;SK ZILINA01;jozef.ristvej@uniza.sk;1041 Transport services;yes;yes;yes;6;5 (6 x 5 months= 30 months);15 June;30 November
63;FESB;SLOVENIA;University of Ljubljana;SI LJUBLJA01;"Student.office@uni-lj.si; bostajn.murovec@fe.uni-lj.si";"071 Electrical Engineering; 0713 Eletricity and energy; 0714 Eletronics and automation; 061 ICT";yes;yes;yes;3;15 (3x5);31 May;15 November
64;FESB;SLOVENIA;University of Ljubljana;SI LJUBLJA01;Katja.Cerjak@uni-lj.si;071 Engineering and engineering trades;no;yes;yes;2;10 (2x5);31 May;15 November
65;FESB;SLOVENIA;Faculty of Mechanical Engineering;SI MARIBOR01;erasmus@um.si;0710 Engineering and engineering trades;no;yes;yes;2;10 (2x5);1 July;1 December
66;FESB;SERBIA;University of Nis;RS NIS01;ivica.manic@elfak.ni.ac.rs;Engineering and engineering trades;yes;yes;yes;2;10;20 May;20 November
67;FESB;SERBIA;University of Kragujevac;RS KRAGUJE01;erasmus@kg.ac.rs;0715 Mechanics and Metal trades;yes;yes;yes;2;10;30 June;20 December
68;FESB;SPAIN;Universiyesd de Oviedo;E OVIEDO01;inter.agreements@uniovi.es;48 Computing;yes;no;no;2;24;30 July;30 November
69;FESB;SPAIN;Universiyesd de Las Palmas de Gran Canaria;E LAS-PAL 01;"Felix B. Tobajas Guerrero, subdirector de Estudiantes, Moviliyesd y Practicas Externas; t + 34 928 457325 sempe.eite@ulpgc.es; www.eite.ulpgc.es ";061 ICT;yes;yes;no;4;20 (4x5);31 May;30 November
70;FESB;SPAIN;Universiyesd de Las Palmas de Gran Canaria;E LAS-PAL 01;"Felix B. Tobajas Guerrero, subdirector de Estudiantes, Moviliyesd y Practicas Externas; t + 34 928 457325 sempe.eite@ulpgc.es; www.eite.ulpgc.es ";0714 Electronics and automation;yes;yes;no;4;36(4x9);31 May;30 November
71;FESB;SPAIN;Universiyesd de Las Palmas de Gran Canaria;E LAS-PAL 01;"Felix B. Tobajas Guerrero, subdirector de Estudiantes, Moviliyesd y Practicas Externas; t + 34 928 457325 sempe.eite@ulpgc.es; www.eite.ulpgc.es ";0716 Motor vehicle, ships and aircraft;yes;yes;no;2;10 (2x5);31 May;30 November
72;FESB;SPAIN;Universiyesd de la Laguna;E TEnoRIF01;"orincom@ull.edu.es;";441 Physics;yes;no;no;2;10 (2x5);check on the homepage;check on the homepage
73;FESB;SPAIN;Floriyes Centre de Formacio Coop. V, CV-FLORIyes UNIVERSITARIA;E VALENCI16;Inmaculayes Mora, imora@floriyes-uni.es;0710 Engineering and engineering trades;yes;no;no;3;18 (6x3);31 May;31 May
74;FESB;SPAIN;Universiyesd de Sevilla;E SEVILLA01;relint4@us.es;0713 Electricity and Energy;yes;yes;no;"1st cycle 2 students x 10 months (20 months total); 2st cycle 2 students x 10 months (20 months total)";2x10;check on the homepage;check on the homepage
75;FESB;SPAIN;Universiyesd de Sevilla;E SEVILLA01;relint4@us.es;0714 Electronics and Automation;no;yes;no;2;2x10;check on the homepage;check on the homepage
76;FESB;SPAIN;Universiyesd de Sevilla;E SEVILLA01;relint4@us.es;0715 Mechanics and Metal trades;yes;yes;no;1st cycle 4 students x 10 months 2st cycle 4 students x 10 months;4x10;check on the homepage;check on the homepage
77;FESB;SPAIN;Universiyesd de Sevilla;E SEVILLA01;relint4@us.es;0212 Industrial Design;yes;yes;no;2;2x10;check on the homepage;check on the homepage
78;FESB;SWEDEN;Malaryeslen University;S VASTERA 01;check on the homepage;481 Computer Science ;yes;yes;yes;3;15;15 May;15 October
79;FESB;SWEDEN;Malaryeslen University;S VASTERA 01;check on the homepage;523 Electronics and automation;yes;yes;yes;2;10;15 May;15 October
80;FESB;TURKEY;Isparta University of Applied Sciences;TR ISPARTA02;erasmus@isparta.edu.tr;0713 Mechanical Engineering;yes;yes;yes;2;10;30 June;30 December
81;FESB;TURKEY;Nisantasi University;TR ISTANBU45;"erasmus@nisantasi.edu.tr; sercan.karka@nisantasi.edu.tr";061 Computer Science, 0715 Mechanical Engineering, Industrial Engineering;yes;no;no;2;10(2x5);15 June;01 November
82;FESB;TURKEY;Koaceli University;TR KOACELI02;spamuk@kocaeli.edu.tr;0715 Mechanical Engineering;yes;yes;yes;2;10 (2x5);July;December
83;FESB;TURKEY;Yeditepe University;TR ISTANBU21;check on the homepage;"0713 Electricity and energy; 0715 Mechanics and Metal trades";/;yes;yes;2;10 (2x5);1 June;01 November
84;FESB;TURKEY;Yildiz Technical University;TR ISTANBU07;erasmus@yildiz.edu.tr;0716 Naval Architecture;yes;yes;yes;2;10;"online Application Period; 15 May- 15 July";"online Application Period; 15 May- 15 July"
85;FESB;TURKEY;Izmir Institute of Technology-Mechanical Engineering Department;TR IZMIR03;erasmuskoordinator@iyte.edu.tr;071 Engineering and engineering trades;yes;yes;yes;2;10;15 August;31 December
86;FESB;TURKEY;National Defence University;TR ISTANBU63;erasmus@msu.edu.tr;071 Engineering and Engineering Trade;no;yes;no;2;12;1 June;01 November
87;FGAG;AUSTRIA;BOKU Vienna;A WIEN03;"erasmustoboku@boku.ac.at;erasmus@boku.ac.at";0732 Building and civil engineering;no;yes;yes;1;6;30 June;30 November
88;FGAG;AUSTRIA;Graz University of Technology;A GRAZ02;"julia.schwaha@tugraz.at; claudia.jansen@tugraz.at";0612 Database and network design and administration;yes;yes;no;1;5;check on the homepage;check on the homepage
89;FGAG;AUSTRIA;Vienna University of Technology-TU Vienna;A WIEN02;"markus.tomaselli@tuwien.ac.at; andreas.zemann@tuwien.ac.at";073 Architecture and Urban Design;no;yes;no;2;10 (2x5);31 May;15 December
90;FGAG;CZECH REPUBLIC;Czech Technical University in Prague, Faculty of Civil Engineering;CZ PRAHA 10;"yesna.mrkvickova@cvut.cz; very.klatova@fsv.cvut.cz";"582 Building and civil engineering; 589 Architecture and building";no;yes;no;2;10;15 May;30 November
91;FGAG;CZECH REPUBLIC;VSB Technicka Univerzita Ostrava;CZ OSTRAVA01;"Mgr. Et Mgr. Kamila Pokorna; Erasmus + Institutional Coordinator University International Office; kamila.pokorna@vsb.cz; marcela.maturova@vsb.cz; mobility.fast@vsb.cz";"0732 Building and civil engineering; 0731 Architecture and town planning";yes;yes;no;2;20 (2x10);1 June;01 November
92;FGAG;CZECH REPUBLIC;Brno University of Technology (BUT);CZ BRNO01;lady@ro.vutbr.cz;0732 Building and civil engineering;no;yes;yes;2;12 (2x6);31 May;15 November
93;FGAG;FRANCE;The Ecole normale superieure de Cachan;F CACHAN03;ri@ens-cachan.fr;582 Building and civil engineering;no;yes;yes;1;5;30 May;30 October
94;FGAG;FRANCE;Universite de Technologie de Compiegne (UTC);F COMPIEG01;dieter.schulte@utc.fr;Mechanical and Civil Engineering;no;yes;yes;"MA:2; PhD:2";20 (4x5);1 May;01 November
95;FGAG;ITALY;Universita' degli studi di Genova;I GENOVA01;coopint@unige.it;0732 Building and civil engineering;no;yes;no;2;10;check on the homepage;check on the homepage
96;FGAG;ITALY;University of Trieste;I TRIESTE01;studenti.outgoing@amm.units.it;581 Architecture;no;yes;no;2;20 (2x10);May- to be confirmed by official mail year by year;November- to be confirmed by official mail year by year
97;FGAG;ITALY;"UniversitA degli Studi ""G. D'Annunzio""";I CHIETI01;agreements@unich.it;0731 Architecture;no;yes;no;3;15 (3x5);30 June;10 December
98;FGAG;ITALY;University of Ferrara;I FERRARA01;International.agreements@unife.it;07 Engineering, manufacturing and construction;no;yes;no;3;18;from May to 31 August;from October to 15 January
99;FGAG;ITALY;Universita degli studia dell Basilicata;I POTENZA01;erasmus.agreements@unibas.it;0732 Building and civil engineering;no;yes;yes;2;12;31 July;30 October
100;FGAG;ITALY;Universita degli Studi di Trento;I TRENTO01;check on the homepage;0732 Building and civil engineering;no;yes;yes;2;10;31 May;31 October
101;FGAG;HUNGARY;Buyespest University;HU BUDAPEST02;erasmus@bme.hu;0732 Building and civil engineering;no;yes;yes;2;10(2x5);31 May;30 November
102;FGAG;MACEDONIA;SS. Cyril and Methodius University of Skopje;MK SKOPJE01;"mcenevska@ukim.edu.mk;international@ukim.edu.mk";582 Civil Engineering;no;yes;no;2;10 (2x5);15 May;15 November
103;FGAG;GERMANY;Leibniz Universitat Hannover;D HANNOVE01;francesco.ducatelli@zuv.uni-hannover.de;581 Architecture and town planning;no;yes;no;2;10;31 May;30 November
104;FGAG;GERMANY;RheinMain University of Applied Sciences;D WIESBAD01;"eva.bauer@hs-rm.de; international@hs-rm.de";"581 Architecture; 582 Civil Engineering";no;yes;no;2;10 (2x5);15 May;15 November
105;FGAG;GERMANY;Universitat Stuttgart;D STUTTGA01;erasmus@ia.uni-stuttgart.de;"0731 Architecture and Town Planning; 0732 Building and Civil Engineering";no;yes;no;2;12;1 May;1 December
106;FGAG;GERMANY;Coburg University;D COBURG01;"annette.stegemann@hs-coburg.de; international@hs-coburg.de";"073 Architecture; 0732 Building and civil engineering";no;yes;no;2;5;15 June;15 November
107;FGAG;NORWAY;University of Agder;N KRISTIA01;terje.thorsyeslen@uia.no;0732 Building and civil engineering;no;yes;no;2;5;1 May;15 October
108;FGAG;POLAND;UTP-University of Science and Technology;PL BYDGOSZ02;jaroszewska@utp.edu.pl;073 Architecture and construction;no;yes;no;2;10 (2x5);30 June;30 November
109;FGAG;POLAND;Wroclaw University of Science and Technology;PL WROCLAW02;erasmus@pwr.edu.pl;0732 Building and civil engineering;no;yes;no;2;10(2x5);15 June;15 November
110;FGAG;PORTUGAL;Faculty of Science and Technology Department of Civil Engineering;P COIMBRA01;dri.projects@uc.pt;0732 Building and civil engineering;no;yes;yes;2;18 (2x9);1 June;01 November
111;FGAG;PORTUGAL;"Universiyesde Nova de Lisboa; Faculyesde de Ciencias e Tecnologia, Nova School of Science and Technology";P LISBOA03;div.ri.agreements@fct.unl.pt;073 Architecture and construction;no;yes;yes;"2nd= 1 student; 3rd= 1 student ";10 (2x5);31 May;31 October
112;FGAG;SLOVENIA;University of Ljubljana;SI LJUBLJA01;check on the homepage;" 581 Architecture; 0732 Building and civil engineering; 433 Geosciences";no;yes;no;2;20 (2x10);15 May;15 November
113;FGAG;SLOVENIA;University of Maribor;SI MARIBOR01;erasmus@um.si;582 Building and civil engineering;no;yes;yes;3;18;1 July;1 December
114;FGAG;SLOVENIA;University of Maribor;SI MARIBOR01;erasmus@um.si;581 Architecture and Town Planning;no;yes;no;3;18;1 July;1 December
115;FGAG;SERBIA;University of Belgrade;RS BELGRAD02;kostrm@rect.bg.ac.rs;0732 Building and civil engineering;yes;yes;no;1;5;1 May;31 October
116;FGAG;SPAIN;Universiyesd Politecnica de Madrid;E MADRID 05;international.europe@upm.es;0731 Architecture and town planning;no;yes;no;2;20 (2x10);10 June;1 December
117;FGAG;SPAIN;Universitat Politecnica de Valencia;E VALENCI02;opii@upvnet.upv.es;073 Architecture and construction;no;yes;no;2;10(2x5);31 May;15 October
118;FGAG;SPAIN;University of Granayes;E GRANADA01;mobilitycivil.coord@ugr.es;0732 Building and Civil Engineering;no;yes;no;2;9;15 May;31 October
119;FGAG;TURKEY;Maltepe University Faculty of Architecture;TR ISTANBU18;erasmus@maltepe.edu.tr;"073 Architecture; 0212 Design";no;yes;no;2;18 (2x9);15 August;15 January
120;FGAG;TURKEY;Istanbul Kemerburgaz University;TR ISTANBU38;senay.gumus@kemerburgaz.edu.tr;"0732 Civil Engineering; 0731 Architecture";no;yes;no;1;5;check on the homepage;check on the homepage
121;FGAG;TURKEY;Istanbul Teknik Universitesi;TR ISTANBU04;erasmus_agreements@itu.edu.tr;0732 Civil Engineering;no;yes;yes;2;10;1 June;01 November
122;FGAG;TURKEY;Ozyegin University;TR ISTANBU31;"international.relations@ozyegin.edu.tr; intexchange@ozyegin.edu.tr";0731 Architecture;no;yes;no;2;10;15 July;30 November
123;KTF;FRANCE;Institut National Polytechnique de Toulose;F TOULOUS28;"joelle.courbieres@inp-toulouse.fr; internationaloffice@ensiacet.fr";"0531 Chemistry; 0711 Chemical engineering and processes";no;yes;no;2;12 (2x6);1 June;01 November
124;KTF;FRANCE;"Universite d'Orleans; CoST-College of Science and Technology";F ORLEANS01;"vic.cost@univ-orleans.fr; celino.chenault@univ-orleans.fr";"13.3 Chemistry; 13.6 Biochemistry";no;yes;yes;12;3;1 May;1 October
125;KTF;ITALY;Universita' degli Studi di Cagliari;I CAGLIARO1;erasmus@unica.it;"0531 Chemistry; 0916 Pharmacy";yes;yes;yes;2;12;31 July;30 November
126;KTF;ITALY;Universita di Trieste;I TRIESTE01;atossi@units.it;727 Pharmacy;no;yes;yes;2;6;May - to be confirmed by official mail year by year;November- to be confirmed by official mail year by year
127;KTF;ITALY;Universita degli di Salerno;I SALERNO01;bilateralagreements@unisa.it;0711 Chemical engineering and processes;yes;yes;yes;3;9;15 June;15 November
128;KTF;ITALY;Universita degli Studi di Palermo; I PALERMO01;"relinter@unipa.it; erasmus.agreement@unipa.it";0510 Biological and related sciences;yes;yes;no;2;12;30 June;30 October
129;KTF;GERMANY;Coburg Univrsity;D COBURG01;"annotte.stegemann@hs-coburg.de; international@hs-coburg.de";"0533 Physics; 0531 Chemistry; 0711 Chemical engineering and processes";no;yes;no;2;10 (2x5);15 June;15 November
130;KTF;POLAND;The AGH University of Science and Technology;PL KRAKOW02;pajak@agh.edu.pl;"0521 Env. Sciences; 0711 Chem. Processes; 0712 Eng, Env. Prot. Techn.";no;yes;yes;3;15;30 June;30 November
131;KTF;POLAND;Faculty of Pharmacy, Wroclaw Medical University;PL WROCLAW05;slawa.ksenycz@umed.wroc.pl;442 Chemistry;no;yes;yes;3;9 (3x3);30 June;30 June
